strain,converged,kt_final,dmax_final,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
0.03,True,499,4.068477516716346e-11,0.29284714667557354,-0.0009737300644973268,-0.0009737300644976519,1.2910095693508556e-17,3.5179708780986524e-10,2.7631845469928485e-08,-1.0010852633415066e-14,1.0086686225497759e-14,-6.43501888602801e-18,9.506975525258191e-16,0.0,3.26642215497226e-08
0.031,True,499,4.125502254139173e-11,0.29472579365306184,-0.0010420755962986883,-0.0010420755962990188,1.1217950011550292e-17,3.560244304076793e-10,2.824555130283677e-08,-1.4174217865712442e-13,1.429044770032209e-13,3.3978152083162535e-18,1.2252179238678106e-14,0.0,3.32997109087625e-08
0.032,True,499,4.1832713836401565e-11,0.2966029291415384,-0.0011080204621613586,-0.0011080204621617365,1.238957768976746e-17,3.5978031805223585e-10,2.888622110348181e-08,-1.968085019268801e-12,1.984190681727601e-12,-3.153712603716487e-18,1.5200830968962089e-13,0.0,3.396277903316404e-08
0.033,True,499,4.68315940648687e-11,0.2984787330166374,-0.0011722893071469255,-0.0011722893071472937,2.0781884987621165e-17,3.631370182480188e-10,2.955451897628287e-08,-2.6758927251102024e-11,2.6980888843290358e-11,1.5768674801385941e-18,1.8291976155394317e-12,0.0,3.465389369173517e-08
0.033999999999999996,True,499,1.3501587430207354e-10,0.3003534095065077,-0.0012356587671646063,-0.001235658767164971,1.2641153824084742e-16,3.6616665135501465e-10,3.025041092930314e-08,-3.558349019402053e-10,3.588865085500328e-10,-3.885204907155756e-18,2.1258689487221458e-11,0.0,3.5372733179260606e-08
0.034999999999999996,True,499,3.5682148518153793e-10,0.30222718703572427,-0.0012989496788131942,-0.001298949678813585,1.3954350988915468e-15,3.689433325035662e-10,3.097334968384703e-08,-4.621985033853582e-09,4.663839337363233e-09,-4.138698513113568e-17,2.3750734154782194e-10,0.0,3.61184181421661e-08
0.036,True,499,7.98577940626786e-10,0.30410031754400324,-0.001363018937168559,-0.0013630189371689366,1.768148556061854e-14,3.71554017275794e-10,3.172322377463776e-08,-5.855928044010394e-08,5.913145581831339e-08,-4.0636599723701755e-16,2.534402822897292e-09,0.0,3.689062390214773e-08
0.037,True,499,1.4262260417967894e-09,0.3059730752761769,-0.001428751028896166,-0.0014287510288905447,2.1994558978333996e-13,3.7406912274036416e-10,3.249789364029113e-08,-7.225680334015369e-07,7.303553160073964e-07,-5.182873198923721e-15,2.558843956900591e-08,0.0,3.768672773281667e-08
0.038,True,499,2.5826321541189582e-08,0.3078457552919024,-0.001497049315441954,-0.0014970493145345153,2.6650980815110784e-12,3.7657816890455295e-10,3.329619877530435e-08,-8.668686939057142e-06,8.774043050012695e-06,-6.272900860069976e-14,2.408172741352289e-07,0.0,3.850531466056976e-08
0.039,True,499,7.77695370853451e-07,0.3097187038841321,-0.0015688312365313907,-0.0015688311042069449,3.1382729251897465e-11,3.7914703506180224e-10,3.411407336268617e-08,-0.00010093452328690223,0.0001023489035253335,-7.333795305599428e-13,2.0562478286979553e-06,0.0,3.934169297305071e-08
0.04,True,1005,9.83451395310947e-06,0.32194146753839636,-0.002706920234780903,-0.0027047768527618623,1.7663970317327092e-08,1.2555532150169535e-09,3.53122756630544e-08,-0.05677745508300841,0.056837261117105915,-5.025097425331768e-10,0.0011825087120162535,0.0,3.9303648973576235e-08
0.040999999999999995,True,1541,9.961692157389734e-06,0.3320576210294042,-0.003513435376119633,-0.001043831415463636,2.9273424822151034e-07,6.859397403311549e-09,3.7030585725905395e-07,-0.022042096324443556,0.10643263603143303,-8.872408696216513e-09,0.001389045863321092,0.0,3.5394742170640883e-07
0.041999999999999996,True,1997,9.92292612093243e-06,0.3370130415330535,-0.0037222375197986267,-0.000971707818274661,1.4967266859010205e-05,2.82127226945795e-07,1.780225122536047e-05,-0.021026144750035353,0.11648214363852198,-4.83720863362455e-07,0.0013237127097785986,0.0,1.6273241678468448e-05
0.043,True,1558,9.946858852610818e-06,0.3412740463822487,-0.003918274309419202,-0.0009468423497690768,0.00013034348698332497,1.914483222133541e-06,0.00015026683940483985,-0.02086661643086922,0.12396041322157828,-4.450869223938056e-06,0.0011988625022972925,0.0,0.0001349530104919902
0.044,True,1303,9.907938899801627e-06,0.3451089191790491,-0.004108239859857836,-0.0009352087803904199,0.0006865278876181217,7.496320146106098e-06,0.000775381679523769,-0.02106187847629977,0.13001469849645358,-2.4478529623214278e-05,0.0010332559962656057,0.0,0.0006904659813685405
0.045,True,1560,9.977394610125381e-06,0.37266577627801717,0.0025371869796996438,0.0008294069913423671,0.16924408924243545,-0.008954767432864413,0.1706108613423053,0.0015090970788959725,0.2263006013376489,0.000244895414304759,-0.0032007777727469616,0.0,0.14043045532704151
0.046,True,1349,9.996609093960995e-06,0.37457838662887977,0.002600998956081956,0.0008446380823634158,0.16725286598183745,-0.009375633732671486,0.16855431773182752,0.001541266733164402,0.22706451465890787,0.00033268247367076586,-0.003257197952852305,0.0,0.13859581897883505
0.047,True,1251,9.998512747277574e-06,0.3764963605701125,0.002662588028260939,0.0008644189462426942,0.16528513390374971,-0.009794396807573272,0.166525246337401,0.0015723096294159636,0.22785388820675934,0.0004212292034150554,-0.0032887827806015635,0.0,0.13679593693190814
0.048,True,1292,9.991956329155616e-06,0.3784138789258199,0.0027221993403017033,0.0008894061656553478,0.16336420327662218,-0.010206896893683395,0.16454649863610102,0.0016020688365299106,0.22866647629679426,0.0005097400712431959,-0.0032948053557252796,0.0,0.13505198608373073
0.048999999999999995,True,2114,9.979376007510088e-06,0.3803088995673427,0.0027876052464213966,0.0009203546088493781,0.16174216433030575,-0.01058495551183224,0.16289597525723562,0.0016357172092786722,0.22957324635824577,0.0005937163350465723,-0.0032768701101351335,0.0,0.13367143575828216
0.049999999999999996,True,1699,9.831488816766654e-06,0.3822139653123986,0.0028420473444553023,0.0009563915569930264,0.15990874104573,-0.010981200505923557,0.16100419242818212,0.0016606975832778416,0.23040017661517342,0.0006810275953331853,-0.0032344292292048197,0.0,0.13201497304752513
